tweets;Afet;Siyasi;Mağduriyet
ali bey eyt kapsami  sonu olmadığı müddetçe yasa yarım kalıyor cunku büyük deprem gerçeği var bunu defa dile getirmişdiniz bunu teşekkür ederim enkazın altında kalmadık sizce;0;0;1
deprem mağdurları eyt yasa kapsamında değerlendirilerek çözüme kavuşması beklemektedirler çıkacak yasa taslağında olmalarını umut ediyoruz;0;0;1
eytdebgune takilanlari deprem magdurlarini unutmayin lutfen kapsam bizi almali cok üzgünüz sizinde dediginiz aralik cekilmeli;0;0;1
valla ötv deprem toplanan vergi idideprem depremzedeye kira öder sattılar yapıp para toplayacaklar ötv alıyorlar kaldırsınlar pandemi eğitim vardı çocuklara tablet alınacak ötv attırılıp fiyat yükseltildi;0;0;1
başkanım deprem nedeni aralık bildirilen girişli olarak çalışmak zorundayım benim deprem nedeni girişleri bildirilenler var mağduriyet olacak;0;0;1
melih bey  sgk girişliyim  depreminden hizmet başlangıç zamanım  olarak gözüküyor adapazarında deprem hizmet başlangıç sürem  gözüküyor yapmam gerekiyor selamlar yayınlar;0;0;1
sayın bakanım deprem mağdurlarını kapsam dışı bıraktınız gün çıkan yasa halkımız canı uğraşırken sgk girişleri ertelenmişken bizleri mağdur ettiniz;0;0;1
 vadeli sigorta başlangıcım yaklaşık aydan eyt olamıyorum yıl deprem ekonomik krizden işletmeler sigortalı çalıştırmadı durum dikkate alınamaz   tarihlerindeki stajımı borçlanamıyorum adalet ;0;0;1
deprem dönemin hükümetinin aldığı kararlar varssk vergi ceza geciririle bilir diye mağdur olduk deprem zedeler ücretsiz mesai yapıp çadır dikmistim ssk girişim yapıldı bizim durumumuzda  insan var agir geldi devlete;0;0;1
mecliste ety görüşmeleri yapılacak komisyon kurulacak deprem nedeni mağdur olanlar staj konularda gorusulecektirmuhalefetun konuda baskısı olacağını düşünüyorumasul sorun durumlardan mağdur olanların sayıları kac kişi mağdur;0;0;1
deprem magdurlarini saydiniz eyt ;0;0;1
boyle biseyi cikariyorsan yili baz alirsin gunu degil  yaparsin agustosta deprem olmus insanlar ssk ugrassinlar bakarsan bak boylesine adaletsiz karari türkiye siyaset tarihinde gormedim yasamadim;0;0;1
ağustos depremi sgk girişleri mücbir sebeplerden ertelenen mağdurlarının sorununun çözümü eyt kapsamı  olarak düzenlenmelidir;0;0;1
sayın vekilim deprem mağdurlarını unuttunuz kapsamın  olarak eyt düzenlemesinin yasalaşmasını umutla bekliyoruz;0;0;1
özgür bey staj girişi deprem mağdurları olacak;0;0;1
staj sayılmamış deprem mağdurları var gün yıldan emekli olacakken prim gün kazık oldunuzşeytanayrıntıda gizli  yarıya traşladınız yemezler;0;0;1
eyt deprem sgk girişler aksadı sebeple  ayla kaybeden kişiler var sizin derdiniz degilmi tamamı kapsamali  konuyu sesiniz çıkar umarım adalet diyorsanız federasyonunuzu kapatın derim;0;0;1
eylül sigorta girişim var staj marmara depremini yaşadım deprem sonrası çıkmış yasa beni geçtim can dersine sigorta dersine düşsün insanlar;0;0;1
deprem sigorta başlangıcı bildirilenler mağdur olacaklar eyt başlangıcı  olmasını sizden arz ederim;0;0;1
yılı  sigorta girişim var sene deprem yaşadık  deprem bölgeleri  kocaeli  adapazarı  istisna yapılabilirdi  yaşı beklemek zulmdür ;0;0;1
ağustos kasım depremleri sgk girişleri mücbir sebeplerden ertelenen deprem mağdurlarının sorununun çözümü eyt kapsamı  olarak düzenlenmelidir;0;0;1
sayın vekilim  deprem atamaları yapılan  gün eyt kaçıran eşim gibi mağdurların durumları gelişme bekliyor musunuz saygılar sunarım;0;0;1
hayırlı olsun eyt arkadaşlara ali abi bizler deprem mağdurları diskalifiyemi olduk ;0;0;1
desten verin eyt deprem mağdurları unutuldu ağustos depreminden girişleri yapılanlar mağdur oldu yardım edin yasal olarak verilen süreden  sene çalışmak zorundayız ;0;0;1
emekli maaşlarını deprem yardımlarıyla ödediler onuda gördü millethaaa arada eyt değilsin kasma kendinireis ülkenin başında olacaksen oyuunu kime verisen ver;0;0;1
günle eyt olmayı kaybediyorum sene farkediyor temmuzda başi yapmıştım öteledi deprem dolayısı devlet muafiyet getirdi kimsenin sigortası yapılmadı mevcut yasada emekli olmaya hak kazanacakken yaşında emekli olabiliyorum hakmı;0;0;1
eytlilerin hakkını verdiniz emeklerinize sağlık takılanları çözüme kavuşturmanız konusunu değerlendirmelerinize arz ederim;0;0;1
deprem sonucu atamalarımız eylül sonu oldu bize hak yaş emekli günlerle kaçırdık eylülü;0;0;1
deprem ssk girisleri yapilamayanlar;0;0;1
sayın cumhurbaşkanımız yilinda yasadigimiz deprem felaketlerinden sigorta girislerinin gec yapilmasiise giris atamalarin ertelenmesinden dolayi  tarihine sigortali olan herkesi eyt kapsami icine aldiracaginiza inaniyoruz;0;0;1
vekilim senesini komple kapsaması gerekirdi deprem sonrası işe girişlerde sgk bildirimi ertelendi binlerce kişi günle yaşını beklemek zorunda kalacak kanunu senesini komple kapsayacak şekilde düzeltin;0;0;1
 staj girişliyimyıl ortasında kanun değişiyorönce bunu düzeltmesi gerekiyorlardı deprem mağduru var aralık yapmıyorsunuz gün yıl çalışacağımhak  kanunu çıkaranlarında destek verenlere hakkımı helal etmiyorum;0;0;1
ssk maaşlarının deprem yardımlarıyla ödendiği günlerden bugünlere  utanmakda erdemdir ;0;0;1
yılında staj yaptım okul bitti peşpeşe tane büyük deprem oldu yıkıntıların arasında çalıştıgım işyeri sigorta girişini yapmadıozaman çocuk aklimızla bisey yapamadikşimdi bunları gormezden geliyorsunuzsecim zamanı kapıma geldiginizde benim yapacagim gibi;0;0;1
eyt arkadaşlara hayirli olsun deprem magdurlari icinde desteklerinizi bekliyoruz kapsam genislemeli;0;0;1
merhabalar olarak eyt depreme takılanları dönem sgk girişleri yapılamayan işe girişleri atamaları ötelenenleri sorabilir misinizkapsam  olarak genişletilmiştir ;0;0;1
deprem sgk girişleri yapılamayan mağdurlar bakan  öncesi diyor eylül aralık zor eylül girişli  yaşında emekli olabilecekken eylül girişli  yaşında emekli olacak;0;0;1
firma sahibi sgk girişimizi bildirmemiş deprem olunca yatmış ölmüşlerdir diye arkadaşım kazası geçirdiği hastane olayına girince gün sigortalı göstermiş emekli oluyor yaşına devam sokuk şansım var işte;0;0;1
eylulde işe girenler olacak gün hakkı kaybedenler deneme süresi vardı sigorta yapıyorlardı kanunun eylül yılını kapsaması gerekirdi deprem mağdurları sigorta olamayanlar olacak yılından olmalıydı;0;0;1
kasim sgk baslangici agustos deprem magdurlarini unuttugunuz icin tesekkurler vermis oldugunuz kararla yasinda sgk baslangici olan birisini yasinda emekli etmis oldunuz bizlere sene bekleyin demis oldugunuz icin tesekkur ederim;0;0;1
sayın cumhurbaşkanım ağustos depreminde ssk girişleri ötelendi günle eyt tarihinin dışında kalanlar var deprem mağdurlarının hak kaybını önlemek icin kapsamın  olmasını sizden istiyoruz;0;0;1
sayın cumhurbaşkanım ağustos depreminde ssk girişleri ötelendi aramızda günle eyt tarihinin dışında kalan var deprem mağdurlarının hak kaybını önlemek icin kapsamın  olmasını sizden istiyoruz;0;0;1
sayın cumhurbaşkanım ağustos depreminde ssk girişleri ötelendi aramızda günle eyt tarihinin dışında kalan var deprem mağdurlarının hak kaybını önlemek icin kapsamın  olmasını sizden bekliyoruz;0;0;1
sayın cumhurbaşkanımbugün depremzedeler sizden bekliyor ağustos deprem mağdurları olarak bizi eyt dışında bırakmayın saygılarımla;0;0;1
deprem dönemi yaşanan aksaklıkları belirterek eyt tarihinin  olması isteğmizi  devlet büyüklerimize ilettikmühür kendilerinde hayırlısı olsun;0;0;1
sayın bakanım deprem mağdurlarına yardımcı olalım;0;0;1
can abimiz  günle  ayla eyt kapsamın dışında kalan büyük marmara mağdurları bizleri görmüyorlar duymuyorlar bizleri üzüyorlar abi allah tan revamı abi  öncesi sgk yaş emekli  sgk girişli yaş emekli ;0;0;1
 stajyer deprem mağduru kapsamının genişletilmesinitarihin  olmasını bekliyor kişiye hakkının verilmesi desteklerinizi arz ederiz;0;0;1
değerli stajcı değerli deprem mağduru olan arkadaşlar malesef normal eyt  yarayan kutsal günün peşinden gideceginize bunun adil olmadigini günü gün kacırıp yıllar emekli olmanın haksizlik olduğu manifestosu çıkış yapsydiniz adil olurdu;0;0;1
eyt deprem mağdurlarıeyt staj mağdurları eyt sonrası çözüm bekliyor;0;0;1
saygıdeğer cumhurbaşkanımtemennimiz eyt kapsamının olmasıdır olağanüstü deprem koşullarında işyeri yıkılmış sigorta girişleri yapılmamıştıradaletinize güveniyoruzsaygılarımızla arz ederiz;0;0;1
bakanım nedemiştiniz magdur kalmayacak bize mujde verin onuda cok görmeyin deprem diyoruz dogal afet onu gundene almıyosunuz sesimi duyun ses verin eyt takıldı;0;0;1
bakanım bizler eyt magdurlarıyız depremde yasa cıkardılar ssk girişlerimiz ertelendi bizim sucumuz neydi gune yil mahrum kalmakmı araştırın burda magduriyet var;0;0;1
inde sgkgirişleri gecikti işe alımlar atamalar ertelendi geçmişe dönük düzenlemeyi hakediyoruz sesimize ses olur musunuz ;0;0;1
emekli olmak zorundayız sgk yapıldı bizim günahımız nedir ;0;0;1
eyt deprem mağdurları olmadan yapılacak eyt yasası adil olmayacaktır kapsam  olsun mağduriyet olmasın;0;0;1
çabalarımız hak eyt deprem mağdurları olarak hakkımızı verecektir devletimiz inanıyoruz eyt kapsamı  olsun depremde magdur olduk çıkacak yasayla mağdur olmayalım;0;0;1
eyt deprem mağdurları olmadan yapılacak eyt yasası adil olmayacaktır kapsam  olsun mağduriyet olmasın;0;0;1
 sonrası sgk lilar olarak geçmişin hataları mağdur edildikçalıştığımız halde deprem bahane edilerek girişlerimiz ötelendibunun bedeli günle haftayla ayla yıl olmamalı  sonu olmalıdır;0;0;1
dam mahkumuna arsuzu sorulur eyt deprem mağdurları olarak bize şey sormuyor eyt  olsun;0;0;1
staj secim sonrasına vaad verilirse hepimizin morali güveni sıfıra iner hayalleri biterdeprem vurdu vurmayın;0;0;1
sayın cumhurbaşkanım deprem mağdurlarının sesini duyun lütfen bizler yıldır hak mağduriyeti yaşayan depremzedeleriz devletimizin sorunu görmesi aylardır çırpınıyoruz sessizin duyulmasını eyt yasası bulmasını bekliyoruz;0;0;1
eyt  staj mağduru deprem mağdurların  aralık  sorununun çözümü çalışma bekliyoruz  bilgin cumhur ttifakı eyt sorununu masadan kaldıracağına canı gönülden inanıyorum;0;0;1
eyt deprem mağdurları olmadan yapılacak eyt yasası adil olmayacaktır adaletinize güveniyoruzkapsam  olsun mağduriyet olmasın;0;0;1
yillarca odedidigimiz primler yillardir çalinan maaşlarimiztipki deprem paralarimiz gibi guruha meze oluncabize  dusuyoryasadigim haram zikkim edecegim ilgili olan herkese;0;0;1
primler stajda verilen sicil yatirildidemek staj gercek baslangiciymisdeprem vurdu zatenbir vurmayın;0;0;1
eyt kapsamı  olarak istisnasiz şartsız koşulsuz revize edilmeli;0;0;1
eyt deprem mağdurlarını gündeme getirebilir misiniz ;0;0;1
 meslek lisesin okudum yıl sanayi çalıştım staj  deprem zamanı vatani görevini askere gittim cebimden parasını ödememe eyt değilimöylemi;0;0;1
eyt  hakkını istiyor deprem zamani insan can derdindeyken sigorta girişini duşünemezki;0;0;1
sayın sesimizi duyurun eyt  kapsamalıbir kac günlekaćırıyoruz deprem mağdurlarindaniz;0;0;1
 eyt eyt eyt zamanımiz duyun sesimizi;0;0;1
 zafer bizim sun eyt kapsam  sun lutfen deprem magdurlarini düşünun;0;0;1
zaman daralıyor umuduz hala etmekte eyt  olacak;0;0;1
cumhurbaşkanım staj deprem mağdurları olmadan çıkan eyt büyük mağduriyetler hayal kırıklıkları ortaya çıkaracaktır staj sız eyt babanın evlatları arasında ayrım yapmasına benzer haksızlık tan zarar görecektir;0;0;1
cumhurbaşkanım staj deprem mağdurları olmadan çıkan eyt büyük mağduriyetler hayal kırıklıkları ortaya çıkaracaktır staj sız eyt babanın evlatları arasında ayrım yapmasına benzer ayrımcılığa kayıtsız kalmayın;0;0;1
yılında ssk bildirimleri sonrasına yapılıyordudeprem olunca bildirimler yapılmadıeyt tarihinin  olmasını istiyoruz;0;0;1
yılı marmara deprem bölgesinde yaşayan maruz kaldığı olağan üstü durum mağduriyetinin giderilmesi açısından önem arz edilen düzenlemedir eyt konusu depremzede vatandaşlara ayrıcalık yapılarak sgk girişleri  olarak eyt kapsamına alınması gerekmektedir;0;0;1
üvey evlat değiliz eyt liden primimiz var eyt kapsami genişlesi mağduriyetler bulsun;0;0;1
toplumsal dayanışma alkışlanır  eyt kapsamı  olmalı deprem yapılmayan ötelenen sigorta girişlerinin bedeli yıl beklemek olmamalı;0;0;1
tektir mağdur olduk eyt kapsamı  olarak ıstisnasiz revize edilmeli;0;0;1
zamları yapıyortarım kredi marketleri fetöcüpahalılık karşısında birilerini suçlu gösteren iktidara cevap verdi çocuğun prof  bayraktar cem garipoğlu mamoğlu;0;0;1
eyt depreme takıldık büyük felaket bize imtiyaz hakkı vermeli eyt ;0;0;1
eyt tarihini gözardı etmeyin bizler deprem istemeden elimizden birşey gelmeyen ortamda kaçırdığımız hakkımızı arıyoruz;0;0;1
 staj mağduruyum  deneme süresi adı altında bildirim sigortası yapılmayan emekçi mağdurum deprem sigorta başlangıcı işverence  ötelenen depremzede mağdurumhak diyorum;0;0;1
ssk bildirimleri sonrasına yapılıyordudeprem olunca bildirimler yapılmadıeyt tarihinin  olmasını istiyoruz aksi hak kaybı olacaktır devletimizin adalet terazisine güveniyoruz;0;0;1
ssk bildirimleri sonrasına yapılıyordudeprem olunca bildirimler yapılmadıeyt tarihinin  olmasını istiyoruz;0;0;1
ssk bildirimleri sonrasına yapılıyordudeprem olunca bildirimler yapılmadıeyt tarihinin  olmasını istiyoruz;0;0;1
türk kültüründe baba ilişkisi saygı savgi temelleri oturtulmuş kültür korunmuşturgelelim çakma baba oğulabirbirlerini boğazlayacak duruma gelmişler koltuk kavgası chp deprem yaratacakher hiyara tuz konmaz;0;1;0
chp şey gelişiyor kasetle koltuk kapılıp chp ihraç ediliyor akşener imamoğluna sarılıp chp yollu deprem yaşatıyor kılıçdaroğlu tabanları yağlayıp almanya tırısa kalkıyor saati saatini tutmuyor;0;1;0
türkiye mağdurken ülkede deprem olurken ülkelerde gezenleride görüyor musunuz düzce boruları patlıyor mesela kanal haber yapmıyor chp belediyesi particiliği bırakıp icraate bakarsak hizmet alırız adam sahaya indi;0;1;0
chp deprem chp stanbul valiliği gönderdiği yazıda millet ttifakı mitinginin büyük alan olan yenikapı yapılacağını belirtti chp  başkanı mamoğlu bunu görmezden gelerek mitingi küçük alana sahip olan saraçhane yaptı;0;1;0
yanlışınız var çiller tarihleri arasında chp zihniyeti olan ecevit vardı bankaların battığı dönemi söylüyorum emekliye maaş veremeyen deprem yardımlarını emekliye maaş olarak dağıttık diyen çapsız zihniyet;0;1;0
youtube yayınında chp  hesaplasmasina vakit ayırmazsanız sevinirim değinilecek olabilir  adam başarısız başarısız deprem olsa stanbul  yapacak onu düşünsün;0;1;0
chp koldan girdiler  buyuk deprem olacak yiyecekler birini emin olunuz parti mhp goruslerden olursa olsun sosyosarlatanlara zirnik cikmazataturkculer kemalistler istifa edilmis eski vekiler canancilar;0;1;0
chp belediyeleri çalıştırmamak türlü yolu deniyorsunuz deprem yapılması gerekenleri engelliyorsunuz halkın iradesini cezalandıranlar bizden bekliyor beklersiniz yanındayız mamoğlu ;0;1;0
chp despotizminden cumhuriyet  işte geçtiğimiz  halkı korkutuyorlar gıdım değişmemişler günaydınlar;0;1;0
 sözcüsüne sviçre tatili yanan otobüsler bakım onarım ihalesi alan chp  hemde deprem reklama para  tabiki eşe dosta ihale verildi alınan milyonlarca  borç karşılığı yok yazardım yazdıkça terbiyemi bozacağım nokta;0;1;0
kiliçdaroğlu kabuslarichp  şiddetinde mamoğlu depremi yaşanıyor kıyamet kopuyor chp deprem çadırından fısıltılar siyaset kulislerine yansıyor kiliçdaroğlu ekrem mamoğlu meral akşener rağmen cumhurbaşkanı adayı yaptırmayacak;0;1;0
akp mhp liderleri birlerini överken;0;1;0
erdoğan şiir okuyorlar erdoğan erdem beyazıt şiiri kıtası diyorkemal okusalar nutuktan satır demesi muhtemeldeprem hatay messi laiklik;0;1;0
chp şey gelişiyor kasetle koltuk kapılıp chp ihraç ediliyor akşener imamoğluna sarılıp chp yollu deprem yaşatıyor kılıçdaroğlu tabanları yağlayıp almanya tırısa kalkıyor saati saatini tutmuyor;0;1;0
türkiye mağdurken ülkede deprem olurken ülkelerde gezenleride görüyor musunuz düzce boruları patlıyor mesela kanal haber yapmıyor chp belediyesi particiliği bırakıp icraate bakarsak hizmet alırız adam sahaya indi;0;1;0
chp deprem chp stanbul valiliği gönderdiği yazıda millet ttifakı mitinginin büyük alan olan yenikapı yapılacağını belirtti chp  başkanı mamoğlu bunu görmezden gelerek mitingi küçük alana sahip olan saraçhane yaptı;0;1;0
yanlışınız var çiller tarihleri arasında chp zihniyeti olan ecevit vardı bankaların battığı dönemi söylüyorum emekliye maaş veremeyen deprem yardımlarını emekliye maaş olarak dağıttık diyen çapsız zihniyet;0;1;0
youtube yayınında chp  hesaplasmasina vakit ayırmazsanız sevinirim değinilecek olabilir  adam başarısız başarısız deprem olsa stanbul  yapacak onu düşünsün;0;1;0
chp koldan girdiler  buyuk deprem olacak yiyecekler birini emin olunuz parti mhp goruslerden olursa olsun sosyosarlatanlara zirnik cikmazataturkculer kemalistler istifa edilmis eski vekiler canancilar;0;1;0
chp belediyeleri çalıştırmamak türlü yolu deniyorsunuz deprem yapılması gerekenleri engelliyorsunuz halkın iradesini cezalandıranlar bizden bekliyor beklersiniz yanındayız mamoğlu ;0;1;0
chp despotizminden cumhuriyet  işte geçtiğimiz  halkı korkutuyorlar gıdım değişmemişler günaydınlar;0;1;0
milletvekili açıklama yapmıştıdeprem vergileri özel iletişim vergisi parası sorduklarında akp milletvekili sanırımbu yollar köprüler yapıldı tarzı açıklama yapmıştı;0;1;0
sorun özel iletişim vergisi deprem kullanılacaktı akp yaptı paraları belli;0;1;0
akp bizi mahvetti;0;1;0
süleyman soylu şehit yakınını teröritst zannetti akp mhp pkk süleyman soylu tcmb bddk faiz eyt recep tayyip erdoğan banka bist borsa enflasyon faiz habertürk habertürkht ahaber tgrt tgrthaber trt trt galatasaray fenerbahçe beşiktaş istanbul eski nebati deprem;0;1;0
mahallelerde depremde toplanma alanı bırakmayanların siyasetini seviyorsunakpli esenler deprem olsa bina yıkılsa mahallelere yardım aracı giremez otopark park alan varsiyasi hayallerinizi kenara bırakıp ülkenin gerçeklerinede bakın arada;0;1;0
akp rant doğa talanı kuruş rant doğayı mahvettiler istanbulda deprem toplanma alanlarını ettiler şehir koca beton mezarlığına döndü ülkeyi enkaza çevirdiler gidince enkazı kaldırmak çooook zaman alacak yapacağız;0;1;0
yıl gaz tuz şeker yoktuyalan nüze yuva yapmış dolar  dan  çıktı hükümet devrildi den  çıktı hala yüzsüzce koltukta oturuyorlar deprem paralarına akp çöktü tarihin yılı olduğunu nebati söyledi senin gerzek anlamadı;0;1;0
akpnin politikası türki nüfus yapisini bozmak içinmiş gibihatırlayın karıştırılan binalar kolayca yıkılmıştı  suriyeliafgan kumu karıştırıyor sözü vicdan sömürüsü sadece;0;1;0
akpartiden önceki ödenen vergiler nerde zaman yol havaalani metro hizli tren  köprü  hastaneler yapilmamiş memur maaşlari deprem yardimlari  ödenmi;0;1;0
karda rakı balık yapar deprem olur millet göcük altında kayağa gider istanbul ucuz der ucuz ulaşım der milletin anasını ağlatır zamlarla topal ördek seni akparti tepki oyları geldin millet pişman nusubet nasihattan iyidir demişlergidicisin;0;1;0
hayırdır emekliye maaş veremez durumuna geldiyoksa memuraişçiye maaş veremez durumunda engeliyemaas veremez durumunda ülke akparti gelmeden deprem paraları imefeye muhtaçtı ülke desteklemeyin ihtiyacımız;0;1;0
ktidar kilit anahtarı hdp yolunda geçer chp parti toplasan  hdp olmaz akparti nde geçerli;0;1;0
hatırlamıyorsam mhp koalisyonda değilmiydi deprem zamanı;0;1;0
sosyal güvenlik reformu yasasını  anap dsp mhp hükümeti insanlar deprem yaralarını sarmaya çalışırken çıkardı şçilerin yılını yediler yıllar yağma etti saçmalığa örgütlü mücadele sürdüren hareketi haksızlığı püskürttü;0;1;0
deprem sarızeybek zaman camiaya değildiki koray aydın olsa doğrudur derim  partileşemedi hala mhp nin çakması algısını yaratıyor nin kapıya koyduğu general çok liderliği kendilerine hak görüyorlar;0;1;0
gelecek partisi depremgelecek partisi batman merkez lçe başkanı ömer  teşkilat olarak istifa ettiklerini açıkladı;0;1;0
mamoğlu reklamı ayırdığı ödenek milyonluk stanbul olası deprem ödeneğinden fazlabir afet olsa paralar reklama gittiği için istanbulluya tas çorba dağıtamaz duruma getirdiler belediyeyiistanbul parasıyla hdp teşkilatlarını gezdi;0;1;0
kıyamet senaryosu barajları köprüleri hastaneleri yıkacaklaryargıda deprem akp sonrası kavga başladıimamoğlu siyasi hayatı bitti hdp abluka altında editör masasi;0;1;0
hdp yapılacak yardım kürt halkına yardım olarak dağıtılsınçay şeker ihtiyaç malzemesi şeklindehdppkk nın kürtlere faydası olmuşzarardan başkabölgede deprem battaniye göndermiş pkk eşkiyaları;0;1;0
akp nin içindeki mhp seçmenini gözardı etmemek eski mhp mansur aday olmalıdır seçim kazanılsın;0;1;0
fatihtoggnusretmacronaraplitre imamoğlu akşener tokat atıldı yaygara koparan chp liler ferhat encü denen hdp li provokatör askerimize hakaret ediyor buna diyeceksiniz;0;1;0
çişleri bakanı süleyman  göçün ülkeyi batırmadığını zenginleştirdiğini belirterek her göçün hikayesi kültürüyle gelmiştir üzerimize düşeni yapıyoruz yapmaya edeceğiz dedi;0;1;0
mhp belediyeden skandal gıda yardımı tadı gelince ortaya çıktı eskişehir alevi bursa camide atatürk;0;1;0
recep tayyip erdoğan tanımasam yeminli türkiye düşmanlarınahdpkk fetö demirtaş savunucularına bakarölümüne recep tayyip erdoğan sahip çıkarımvatan sevgimizin gereği budurdüşmanhain okunu takip ediyoruz recep tayyip erdoğan savunuyoruz;0;1;0
chp şey gelişiyor kasetle koltuk kapılıp chp ihraç ediliyor akşener imamoğluna sarılıp chp yollu deprem yaşatıyor kılıçdaroğlu tabanları yağlayıp almanya tırısa kalkıyor saati saatini tutmuyor;0;1;0
ekrem imamaoğlundan hatırda kalan selde tatil depremde tatil karda yemek hdpkk alınanlar borç otobüs deprem konutu yanan otobüsler yolda kalan otobüsler metro arızaları tuzlanmam yollar;0;1;0
ekrem imamoglunun sonucu olsun olsun chp koldan girdiler  buyuk deprem olacak yiyecekler birini emin olunuz parti mhp goruslerden olursa olsun sarlatanlara zirnik cikmazataturkculer kemalistler istifa edilmis eski vekiler canancilar;0;1;0
sorarım stanbulu nasilkazandıgı belli hdp olmasa kazanırdı ekofetocudur kendinizi kandırmayın ermenidirbunu goguldan araştır gerçeklerle yüzleş fetoculara chp hdp ulkemekim düşmana bende onlara düşmanım alçaksınız ahlaksızlar deprem olduğunda kaçacak yer arars;0;1;0
sende aynisin oda chpde seciliyorsa bilinki arkasinda onunde yaninda pkkhdpfetösuleymancilarla secilen sizler var yazik izmirin istanbulun halineseldepremkarkis arazisiniz;0;1;0
deprem ülkeyi vurdu altın emekçiler kaldı dsp anap mhp halkın derdi uğraşmak emekçiyi cezalandırdı anap gitti dsp gitti sira sende mhp;0;1;0
ülkemiz demeden çalışandepremterör uyuşturucuorman yangınıselkar felaket mücadele eden soylu saygılıyız yılda hiçbirsey yapmayanstanbulu yönetemeyen beceremeyenyıldır başarısız chp almış atatürk düşmanı hdp sıcak bakan mamoğlu;0;1;0
almanya başbakanı scholzdünya jeopolitik deprem yaşıyor milat karşıyayıztürkiye güçlenip çıkacağı kasırga adamdır pkk hdp kalleştir;0;1;0
yada eylül öncesi emekçiler deprem sonucunda geçici olarak getirilen hemde bugünkü chp kuran milletvekilleri dönemdeki ittifak ortağı olan mhp anap milletvekillerinin onayladığı yasayı akp mhp araya gelerek kaldırıyor bitiyor;0;1;0
sebebi basitktidar partisi seneden fazladir topladigi deprem vergilerini calip aralarinda bolustuler yada suriyelilere yedirdileryeni gelen ibbsinede buyuk zorluklar çıkararak onlarin calismalarini onlediler;0;1;0
tunus ulusal kurtuluş cephesi lideri necip şabi bugün yaşananlar deprem diyerek said meşru cumhurbaşkanı olarak gördüklerini açıkladı fiyaskodan said istifaya çağırdıbir diğer büyük parti meşrutiyet partisi said istifaya çağırdı ;0;1;0
orc seçim anketinden çarpıcı sonuçlar partinin ipi göğüslediği ilde oranları düştü eskişehir alevi bursa camide atatürk;0;1;0
bilmiyorsam memleket partisi buna benzer proje sunmuştu deprem riskinin olduğu bölgenin sanayi üssü yapılmasından bahsediyordu nce hatırlıyorum tarz projelerin uygulanması gerekir;0;1;0
pensilvanya dürüstse zaman gazetesi yenibosnadaki nasi deprem toplanma merkezi ken mara açilip cemaate verilmesi çıkmadı şimize gelince yolsuzluk işimize gelince zmet insanların duygulari oynamak bunun hesabini versin cemaat;0;1;0
engelliyken ortaya koyduklarıyla ifşaalarıyla deprem yarattı pis kokulu karaparti mensuplarında yerle yeksan olacaklar var;0;1;0
deprem gibi hdp ülkenin gerçeğidirher ikisi acil önlem almalıyız;0;1;0
kadın kolları genel başkanımız gölyaka ilçe örgütümüzle buluştu nazlıaka partimize katılan kadın üyelerimize rozetlerini taktı nazlıaka gölyaka deprem mağdurlarının kaldığı çadırları esnafı ziyaret ederek ilçenin nabzını tuttu;0;1;0
seçimde yerinize gelecekler herkesin hakkını verince kahraman olacaklar hemde cekinceleriniz sizin olmaktan çıkacak askerlik borçlanması doğum deprem mağdurlari gün hakkını alacak;0;1;0
seçim vaadlerinden haberiniz oozaman  prefabrik bildiğiniz akp deprem bölgesinde daha sürede binlerce konut dikmişken hizmet alanında kıyasa girmek akıllıca olmaz hak hukuk adalet konularında olabilir onu mazideki ayrıştırıcı tavırlardan millt yemez;0;1;0
altılı masa altılı kasa partisi partisi enflasyon deprem yoksulluk adaletsizlik sapıklıklar vurmalar kırmalar iklim krizi gelecek kaygısı say say bitmediler gelir gider bana gelir gider seni dert etmeler;0;1;0
olacak chp den istifa partiye katil onu yapacak yürekte bunda yaparlarsa yapsınlar onlara verecek yüzde oyları var tacizde etseler yolsuzlukta yapsalar deprem olsa altında kalsalar gelip kurtarmasada yinede verir;0;1;0
haksızsın kardeş kılıçdaroğlu partiye yaptiginı babası yapmazdı eleştirsene imamoglunuda deprem olur tatilde sel olur kayakta kar yağar yemekte;0;1;0
rade milliye aşkınız sandık patlayıncaya kadarmış bırak ülkeyi parti içi demokrasi masalıyla genel başkanlık max dönem vaadiyle geldiniz kriz deprem yılmış insanları tava getirdiniz yıldır darbe anayasası yenilediniz sonuç sudan;0;1;0
tanju bey partililerde karardan değiliz inanın stanbul beceriksiz belediye başkanını seçimde göndereceğiz şehri mahvetti kaldı tiyatroyu kitlenize kabul ettirirsiniz deprem karda arazi olmaya benzemez;0;1;0
yılı cumhurbaşkanlığı seçiminde kime oyunuzu verir sinizson daki kıyamet yaklaşıyor cumhurbaşkanı erdoğan teşekkürler kılıçdaroğlu bursa kürtçe;0;1;0
adam olmasa partinin haline chp taciz amerikanin çocuklari skandal gelecek berna;0;1;0
 yılı refah partisi  birinci;0;1;0
geliyor gelmekte olan öyle  oyu olam parti ses getiremez ülke çapında zafer partisinin türkiye geneli oranı ;0;1;0
hukuk mekanizmasını çalıştırıp taciz  konularını onlara devredin ekonomi geçim konularına egilin tabiii geçim konusuna bağlı olan seçim konusu var;0;1;0
seçim senaryoları taktikleri komplo teorileri seçmenin tercihini etkiler ;0;1;0
